candidate_id,family,timeframe,context,trigger,confirmation,invalidation,exit_family,time_stop_bars,hypothesis,economic_fingerprint,priority_seed,novelty_score
s70_447e5d23c8dc0c82,multi_tf_bias_alignment,30m,vol_shock,liquidity_sweep_reclaim,volume_expansion_confirm,volatility_recompression,time_exit,48,"{'context': 'vol_shock', 'trigger': 'liquidity_sweep_reclaim', 'participation': 'volume_expansion_confirm', 'invalidation': 'volatility_recompression', 'exit_family': 'time_exit', 'time_stop_bars': 48}",247fc4076cde0f3c8fa3,0.85,0.66666667
s70_64829114e90bfc16,funding_imbalance_revert,4h,transition,pullback_reclaim,none,structure_break,time_exit,24,"{'context': 'transition', 'trigger': 'pullback_reclaim', 'participation': 'none', 'invalidation': 'structure_break', 'exit_family': 'time_exit', 'time_stop_bars': 24}",d0cc4c4b62cd29b7a2ce,0.85,0.66666667
s70_70457b7cf9a22f8e,volatility_reclaim_break,1h,range,pullback_reclaim,none,structure_break,scale_out_then_trail,16,"{'context': 'range', 'trigger': 'pullback_reclaim', 'participation': 'none', 'invalidation': 'structure_break', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 16}",c3e5c3ada1bae4c96787,0.85,0.66666667
s70_c6e0438129d17d75,open_interest_divergence_break,15m,transition,liquidity_sweep_reclaim,volume_expansion_confirm,volatility_recompression,trailing_atr,36,"{'context': 'transition', 'trigger': 'liquidity_sweep_reclaim', 'participation': 'volume_expansion_confirm', 'invalidation': 'volatility_recompression', 'exit_family': 'trailing_atr', 'time_stop_bars': 36}",bb5d4a9fc3c9502ac5ff,0.85,0.66666667
s70_da862c39e81f51d7,trend_flush_recovery,2h,range,pullback_reclaim,none,structure_break,trailing_atr,16,"{'context': 'range', 'trigger': 'pullback_reclaim', 'participation': 'none', 'invalidation': 'structure_break', 'exit_family': 'trailing_atr', 'time_stop_bars': 16}",a1aef0bbf1938c0f091b,0.85,0.66666667
s70_1b5b2897028e20aa,open_interest_divergence_break,15m,transition,funding_flush_reversion,multi_tf_alignment_confirm,failed_reclaim,scale_out_then_trail,8,"{'context': 'transition', 'trigger': 'funding_flush_reversion', 'participation': 'multi_tf_alignment_confirm', 'invalidation': 'failed_reclaim', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 8}",5e67a938a612cb94555c,0.85,0.65
s70_3247f6be4f6844c1,funding_imbalance_revert,4h,transition,compression_breakout,oi_expansion_confirm,failed_reclaim,fixed_rr,72,"{'context': 'transition', 'trigger': 'compression_breakout', 'participation': 'oi_expansion_confirm', 'invalidation': 'failed_reclaim', 'exit_family': 'fixed_rr', 'time_stop_bars': 72}",d8556998dfae360b3368,0.85,0.65
s70_3aa0b6fa4ef84e0f,multi_tf_bias_alignment,30m,vol_shock,funding_flush_reversion,multi_tf_alignment_confirm,structure_break,fixed_rr,12,"{'context': 'vol_shock', 'trigger': 'funding_flush_reversion', 'participation': 'multi_tf_alignment_confirm', 'invalidation': 'structure_break', 'exit_family': 'fixed_rr', 'time_stop_bars': 12}",4bab4d95ff70536b1bbb,0.85,0.65
s70_a61c452c070f7e2b,session_liquidity_rotation,1h,vol_shock,funding_flush_reversion,multi_tf_alignment_confirm,structure_break,time_exit,16,"{'context': 'vol_shock', 'trigger': 'funding_flush_reversion', 'participation': 'multi_tf_alignment_confirm', 'invalidation': 'structure_break', 'exit_family': 'time_exit', 'time_stop_bars': 16}",b236aff6af5c1276f412,0.85,0.65
s70_b04db77e2f9bf01e,structure_pullback_continuation,2h,liquidity_rotation,oi_divergence_break,multi_tf_alignment_confirm,structure_break,trailing_atr,24,"{'context': 'liquidity_rotation', 'trigger': 'oi_divergence_break', 'participation': 'multi_tf_alignment_confirm', 'invalidation': 'structure_break', 'exit_family': 'trailing_atr', 'time_stop_bars': 24}",23f184b7d385e6f19ab0,0.85,0.65
