candidate_id,family,mechanism_family,timeframe,context,trigger,confirmation,participation,participation_style,invalidation,risk_model,exit_family,time_stop_bars,session_filter,modules,transfer_risk_prior,mechanism_signature,priority_seed,novelty_score,beam_score,source_branch,hypothesis,economic_fingerprint
s70_01f44bd245d35490,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,30m,crowding,funding_flush_reversion,crowding_extreme_confirm,sentiment_snap,sentiment_snap,crowding_acceleration,crowding_reversion,fixed_rr,18,high_liquidity_hours,"['crowding_layer', 'flow_regime_engine']",0.48,1947ed2801ae8f3c1c30,0.83,0.765455,0.425,mechanism_generator,"{'context': 'crowding', 'trigger': 'funding_flush_reversion', 'participation': 'sentiment_snap', 'invalidation': 'crowding_acceleration', 'risk_model': 'crowding_reversion', 'exit_family': 'fixed_rr', 'time_stop_bars': 18, 'session_filter': 'high_liquidity_hours'}",1947ed2801ae8f3c1c30
s70_0974a1e8ca3d1339,exhaustion_mean_reversion,exhaustion_mean_reversion,1h,range,exhaustion_reversal,flow_exhaustion_confirm,close_reclaim,close_reclaim,trend_resume,mean_reversion,fixed_rr,8,any_session,"['flow_regime_engine', 'trade_geometry_layer']",0.4,9e6520ff50a16c409151,0.83,0.765455,0.5,mechanism_generator,"{'context': 'range', 'trigger': 'exhaustion_reversal', 'participation': 'close_reclaim', 'invalidation': 'trend_resume', 'risk_model': 'mean_reversion', 'exit_family': 'fixed_rr', 'time_stop_bars': 8, 'session_filter': 'any_session'}",9e6520ff50a16c409151
s70_0e1787822458e574,exhaustion_mean_reversion,exhaustion_mean_reversion,4h,vol_shock,exhaustion_reversal,flow_exhaustion_confirm,fade_extreme,fade_extreme,new_extreme_break,mean_reversion,fixed_rr,4,any_session,"['flow_regime_engine', 'trade_geometry_layer']",0.4,ca5bfb18b351507a7f0a,0.83,0.765455,0.45,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'exhaustion_reversal', 'participation': 'fade_extreme', 'invalidation': 'new_extreme_break', 'risk_model': 'mean_reversion', 'exit_family': 'fixed_rr', 'time_stop_bars': 4, 'session_filter': 'any_session'}",ca5bfb18b351507a7f0a
s70_0eea35bc31c5fde0,squeeze_flow_breakout,squeeze_flow_breakout,1h,vol_shock,range_expansion_break,flow_burst_confirm,breakout_chase,breakout_chase,volatility_recompression,breakout_follow_through,scale_out_then_trail,24,any_session,"['volatility_regime_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.24,0b9e4d9a05ae94ccb40a,0.83,0.765455,0.7,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'range_expansion_break', 'participation': 'breakout_chase', 'invalidation': 'volatility_recompression', 'risk_model': 'breakout_follow_through', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 24, 'session_filter': 'any_session'}",0b9e4d9a05ae94ccb40a
s70_0fe52a8e410ab542,structure_pullback_continuation,structure_pullback_continuation,30m,trend,micro_break_reclaim,volume_expansion_confirm,aligned_flow,aligned_flow,failed_reclaim,trend_pullback,scale_out_then_trail,12,ldn_ny_overlap,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,48cfb58f632e8f7a9e90,0.83,0.765455,0.6125,mechanism_generator,"{'context': 'trend', 'trigger': 'micro_break_reclaim', 'participation': 'aligned_flow', 'invalidation': 'failed_reclaim', 'risk_model': 'trend_pullback', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 12, 'session_filter': 'ldn_ny_overlap'}",48cfb58f632e8f7a9e90
s70_0febe50ad9352155,multi_tf_disagreement_repair,multi_tf_disagreement_repair,2h,transition,bias_realignment_break,flow_continuation_confirm,alignment_reclaim,alignment_reclaim,misalignment_persists,multi_tf_repair,scale_out_then_trail,8,ldn_ny_overlap,"['mtf_bias_completion', 'structure_engine', 'flow_regime_engine']",0.26,e377b7b91d7042ec4c90,0.83,0.765455,0.5375,mechanism_generator,"{'context': 'transition', 'trigger': 'bias_realignment_break', 'participation': 'alignment_reclaim', 'invalidation': 'misalignment_persists', 'risk_model': 'multi_tf_repair', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 8, 'session_filter': 'ldn_ny_overlap'}",e377b7b91d7042ec4c90
s70_161f2e330165e22a,squeeze_flow_breakout,squeeze_flow_breakout,4h,transition,range_expansion_break,volume_expansion_confirm,opening_drive,opening_drive,failed_breakout,breakout_follow_through,scale_out_then_trail,16,any_session,"['volatility_regime_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.24,3c833a803cb74cf2aeaf,0.83,0.765455,0.65,mechanism_generator,"{'context': 'transition', 'trigger': 'range_expansion_break', 'participation': 'opening_drive', 'invalidation': 'failed_breakout', 'risk_model': 'breakout_follow_through', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 16, 'session_filter': 'any_session'}",3c833a803cb74cf2aeaf
s70_16b67b54d7a42014,volatility_regime_transition,volatility_regime_transition,2h,transition,vol_regime_reclaim,momentum_slope_confirm,confirmation_break,confirmation_break,recompression,vol_transition,time_exit,20,high_liquidity_hours,"['volatility_regime_engine', 'structure_engine']",0.3,9490db50c4fc39f6272d,0.83,0.765455,0.6375,mechanism_generator,"{'context': 'transition', 'trigger': 'vol_regime_reclaim', 'participation': 'confirmation_break', 'invalidation': 'recompression', 'risk_model': 'vol_transition', 'exit_family': 'time_exit', 'time_stop_bars': 20, 'session_filter': 'high_liquidity_hours'}",9490db50c4fc39f6272d
s70_2465b2ceef34ca45,exhaustion_mean_reversion,exhaustion_mean_reversion,2h,vol_shock,stretch_extreme_revert,flow_exhaustion_confirm,fade_extreme,fade_extreme,new_extreme_break,mean_reversion,time_exit,4,late_session,"['flow_regime_engine', 'trade_geometry_layer']",0.4,b7d62062d8fd528780c4,0.83,0.765455,0.475,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'stretch_extreme_revert', 'participation': 'fade_extreme', 'invalidation': 'new_extreme_break', 'risk_model': 'mean_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 4, 'session_filter': 'late_session'}",b7d62062d8fd528780c4
s70_259e8ad4cf0ff955,failed_breakout_reversal,failed_breakout_reversal,1h,transition,fake_breakout_reversal,exhaustion_confirm,reclaim_retest,reclaim_retest,breakout_reacceptance,failed_breakout_reversal,breakeven_then_fixed,4,any_session,"['liquidity_map', 'volatility_regime_engine', 'flow_regime_engine']",0.35,e54a32d99a2121e4b6a3,0.83,0.765455,0.6,mechanism_generator,"{'context': 'transition', 'trigger': 'fake_breakout_reversal', 'participation': 'reclaim_retest', 'invalidation': 'breakout_reacceptance', 'risk_model': 'failed_breakout_reversal', 'exit_family': 'breakeven_then_fixed', 'time_stop_bars': 4, 'session_filter': 'any_session'}",e54a32d99a2121e4b6a3
s70_31ecd3b6a74d999e,failed_breakout_reversal,failed_breakout_reversal,30m,transition,failed_breakout_snapback,exhaustion_confirm,reclaim_retest,reclaim_retest,trend_continuation,failed_breakout_reversal,fixed_rr,4,session_extremes,"['liquidity_map', 'volatility_regime_engine', 'flow_regime_engine']",0.35,44a937bb37474d627c6b,0.83,0.765455,0.625,mechanism_generator,"{'context': 'transition', 'trigger': 'failed_breakout_snapback', 'participation': 'reclaim_retest', 'invalidation': 'trend_continuation', 'risk_model': 'failed_breakout_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 4, 'session_filter': 'session_extremes'}",44a937bb37474d627c6b
s70_32bb1478e2927650,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,1h,crowding,funding_flush_reversion,sentiment_reversal_confirm,delayed_reversal,delayed_reversal,trend_resume,crowding_reversion,time_exit,18,any_session,"['crowding_layer', 'flow_regime_engine']",0.48,8c013b7c811ecf54afcb,0.83,0.765455,0.4,mechanism_generator,"{'context': 'crowding', 'trigger': 'funding_flush_reversion', 'participation': 'delayed_reversal', 'invalidation': 'trend_resume', 'risk_model': 'crowding_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 18, 'session_filter': 'any_session'}",8c013b7c811ecf54afcb
s70_3e21e403cef510d6,liquidity_sweep_reversal,liquidity_sweep_reversal,30m,transition,pool_violation_reclaim,flow_exhaustion_confirm,delayed_reclaim,delayed_reclaim,failed_reclaim,sweep_reversal,fixed_rr,8,any_session,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,e6902f7591de62be3d65,0.83,0.765455,0.4875,mechanism_generator,"{'context': 'transition', 'trigger': 'pool_violation_reclaim', 'participation': 'delayed_reclaim', 'invalidation': 'failed_reclaim', 'risk_model': 'sweep_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 8, 'session_filter': 'any_session'}",e6902f7591de62be3d65
s70_40ac2eeb3e339045,volatility_regime_transition,volatility_regime_transition,1h,transition,compression_to_expansion,momentum_slope_confirm,confirmation_break,confirmation_break,failed_expansion,vol_transition,time_exit,8,any_session,"['volatility_regime_engine', 'structure_engine']",0.3,e1cb8af33a2ffaa7532e,0.83,0.765455,0.6625,mechanism_generator,"{'context': 'transition', 'trigger': 'compression_to_expansion', 'participation': 'confirmation_break', 'invalidation': 'failed_expansion', 'risk_model': 'vol_transition', 'exit_family': 'time_exit', 'time_stop_bars': 8, 'session_filter': 'any_session'}",e1cb8af33a2ffaa7532e
s70_4ac5ec1402c0684d,failed_breakout_reversal,failed_breakout_reversal,2h,vol_shock,failed_breakout_snapback,exhaustion_confirm,close_back_inside,close_back_inside,trend_continuation,failed_breakout_reversal,breakeven_then_fixed,10,session_extremes,"['liquidity_map', 'volatility_regime_engine', 'flow_regime_engine']",0.35,832f37dfa092211c3bd2,0.83,0.765455,0.575,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'failed_breakout_snapback', 'participation': 'close_back_inside', 'invalidation': 'trend_continuation', 'risk_model': 'failed_breakout_reversal', 'exit_family': 'breakeven_then_fixed', 'time_stop_bars': 10, 'session_filter': 'session_extremes'}",832f37dfa092211c3bd2
s70_4fa50385c1332102,squeeze_flow_breakout,squeeze_flow_breakout,30m,vol_shock,compression_breakout,flow_burst_confirm,breakout_chase,breakout_chase,failed_breakout,breakout_follow_through,trailing_atr,24,high_liquidity_hours,"['volatility_regime_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.24,c6edf761fcb820da0998,0.83,0.765455,0.3625,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'compression_breakout', 'participation': 'breakout_chase', 'invalidation': 'failed_breakout', 'risk_model': 'breakout_follow_through', 'exit_family': 'trailing_atr', 'time_stop_bars': 24, 'session_filter': 'high_liquidity_hours'}",c6edf761fcb820da0998
s70_5be1caeab377ed27,volatility_regime_transition,volatility_regime_transition,15m,vol_shock,vol_regime_reclaim,momentum_slope_confirm,retest_break,retest_break,recompression,vol_transition,trailing_atr,8,high_liquidity_hours,"['volatility_regime_engine', 'structure_engine']",0.3,a1dd1c44a7f8c5e51e2a,0.83,0.765455,0.6875,mechanism_generator,"{'context': 'vol_shock', 'trigger': 'vol_regime_reclaim', 'participation': 'retest_break', 'invalidation': 'recompression', 'risk_model': 'vol_transition', 'exit_family': 'trailing_atr', 'time_stop_bars': 8, 'session_filter': 'high_liquidity_hours'}",a1dd1c44a7f8c5e51e2a
s70_5e8a6d0fa6bda092,multi_tf_disagreement_repair,multi_tf_disagreement_repair,15m,trend,bias_realignment_break,flow_continuation_confirm,alignment_reclaim,alignment_reclaim,htf_bias_flip,multi_tf_repair,scale_out_then_trail,12,ldn_ny_overlap,"['mtf_bias_completion', 'structure_engine', 'flow_regime_engine']",0.26,4a41762bd295179dcca0,0.83,0.765455,0.5875,mechanism_generator,"{'context': 'trend', 'trigger': 'bias_realignment_break', 'participation': 'alignment_reclaim', 'invalidation': 'htf_bias_flip', 'risk_model': 'multi_tf_repair', 'exit_family': 'scale_out_then_trail', 'time_stop_bars': 12, 'session_filter': 'ldn_ny_overlap'}",4a41762bd295179dcca0
s70_730ea7c1b12d5aa4,liquidity_sweep_reversal,liquidity_sweep_reversal,4h,range,liquidity_sweep_reclaim,flow_exhaustion_confirm,close_back_inside,close_back_inside,failed_reclaim,sweep_reversal,breakeven_then_fixed,4,session_extremes,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,ce7def953d8f214aa230,0.83,0.765455,0.4125,mechanism_generator,"{'context': 'range', 'trigger': 'liquidity_sweep_reclaim', 'participation': 'close_back_inside', 'invalidation': 'failed_reclaim', 'risk_model': 'sweep_reversal', 'exit_family': 'breakeven_then_fixed', 'time_stop_bars': 4, 'session_filter': 'session_extremes'}",ce7def953d8f214aa230
s70_7dc304cf28983548,liquidity_sweep_reversal,liquidity_sweep_reversal,4h,liquidity_rotation,pool_violation_reclaim,flow_exhaustion_confirm,close_back_inside,close_back_inside,failed_reclaim,sweep_reversal,fixed_rr,4,any_session,"['liquidity_map', 'flow_regime_engine', 'trade_geometry_layer']",0.28,71897fb210812957edf8,0.83,0.765455,0.3875,mechanism_generator,"{'context': 'liquidity_rotation', 'trigger': 'pool_violation_reclaim', 'participation': 'close_back_inside', 'invalidation': 'failed_reclaim', 'risk_model': 'sweep_reversal', 'exit_family': 'fixed_rr', 'time_stop_bars': 4, 'session_filter': 'any_session'}",71897fb210812957edf8
s70_7f5122ebdb43b4be,structure_pullback_continuation,structure_pullback_continuation,15m,trend,pullback_reclaim,volume_expansion_confirm,aligned_flow,aligned_flow,failed_reclaim,trend_pullback,trailing_atr,16,any_session,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,d147e8a15efab02d998e,0.83,0.765455,0.6375,mechanism_generator,"{'context': 'trend', 'trigger': 'pullback_reclaim', 'participation': 'aligned_flow', 'invalidation': 'failed_reclaim', 'risk_model': 'trend_pullback', 'exit_family': 'trailing_atr', 'time_stop_bars': 16, 'session_filter': 'any_session'}",d147e8a15efab02d998e
s70_81856b23c1cdb0df,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,2h,crowding,oi_divergence_revert,sentiment_reversal_confirm,delayed_reversal,delayed_reversal,trend_resume,crowding_reversion,fixed_rr,12,high_liquidity_hours,"['crowding_layer', 'flow_regime_engine']",0.48,d5dd4e55e6b67632a505,0.83,0.765455,0.375,mechanism_generator,"{'context': 'crowding', 'trigger': 'oi_divergence_revert', 'participation': 'delayed_reversal', 'invalidation': 'trend_resume', 'risk_model': 'crowding_reversion', 'exit_family': 'fixed_rr', 'time_stop_bars': 12, 'session_filter': 'high_liquidity_hours'}",d5dd4e55e6b67632a505
s70_8f785ac674744b7b,exhaustion_mean_reversion,exhaustion_mean_reversion,30m,range,stretch_extreme_revert,flow_exhaustion_confirm,close_reclaim,close_reclaim,trend_resume,mean_reversion,time_exit,8,late_session,"['flow_regime_engine', 'trade_geometry_layer']",0.4,1ee8888378b237770787,0.83,0.765455,0.525,mechanism_generator,"{'context': 'range', 'trigger': 'stretch_extreme_revert', 'participation': 'close_reclaim', 'invalidation': 'trend_resume', 'risk_model': 'mean_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 8, 'session_filter': 'late_session'}",1ee8888378b237770787
s70_a67d09ce5c09e5be,funding_oi_imbalance_reversion,funding_oi_imbalance_reversion,4h,transition,funding_flush_reversion,sentiment_reversal_confirm,delayed_reversal,delayed_reversal,crowding_acceleration,crowding_reversion,time_exit,12,any_session,"['crowding_layer', 'flow_regime_engine']",0.48,6f3db61629e6b96f4b6a,0.83,0.765455,0.35,mechanism_generator,"{'context': 'transition', 'trigger': 'funding_flush_reversion', 'participation': 'delayed_reversal', 'invalidation': 'crowding_acceleration', 'risk_model': 'crowding_reversion', 'exit_family': 'time_exit', 'time_stop_bars': 12, 'session_filter': 'any_session'}",6f3db61629e6b96f4b6a
s70_b78b1d306af54be9,structure_pullback_continuation,structure_pullback_continuation,4h,transition,micro_break_reclaim,flow_continuation_confirm,impulse_rejoin,impulse_rejoin,failed_reclaim,trend_pullback,trailing_atr,8,any_session,"['structure_engine', 'flow_regime_engine', 'mtf_bias_completion']",0.22,e8dc7db9afeae959dbe1,0.83,0.765455,0.5375,mechanism_generator,"{'context': 'transition', 'trigger': 'micro_break_reclaim', 'participation': 'impulse_rejoin', 'invalidation': 'failed_reclaim', 'risk_model': 'trend_pullback', 'exit_family': 'trailing_atr', 'time_stop_bars': 8, 'session_filter': 'any_session'}",e8dc7db9afeae959dbe1
